Sid,Detection,Level,Tags
06d71506-7beb-4f22-8888-e2e5e2ca7fd8,"{'keywords': ['dpapi::masterkey', 'eo.oe.kiwi', 'event::clear', 'event::drop', 'gentilkiwi.com', 'kerberos::golden', 'kerberos::ptc', 'kerberos::ptt', 'kerberos::tgt', 'Kiwi Legit Printer', 'lsadump::', 'mimidrv.sys', '\\mimilib.dll', 'misc::printnightmare', 'misc::shadowcopies', 'misc::skeleton', 'privilege::backup', 'privilege::debug', 'privilege::driver', 'sekurlsa::'], 'filter': {'EventID': 15}, 'condition': 'keywords and not filter'}",high,['T1003']
545a5da6-f103-4919-a519-e9aec1026ee4,"{'selection': {'Provider_Name': 'Application Error', 'EventID': 1000, 'Data|contains|all': ['MsMpEng.exe', 'mpengine.dll']}, 'condition': 'selection'}",high,"['T1211', 'T1562']"
a18e0862-127b-43ca-be12-1a542c75c7c5,"{'selection': {'Provider_Name': 'Application Error', 'EventID': 1000, 'AppName': 'lsass.exe', 'ExceptionCode': 'c0000001'}, 'condition': 'selection'}",high,['T1003']
e6e88853-5f20-4c4a-8d26-cd469fd8d31f,"{'selection': {'Provider_Name': 'ESENT', 'EventID': [216, 325, 326, 327], 'Data|contains': 'ntds.dit'}, 'condition': 'selection'}",medium,['T1003']
48d91a3a-2363-43ba-a456-ca71ac3da5c2,"{'selection': {'Provider_Name': ['Microsoft-Windows-Audit-CVE', 'Audit-CVE'], 'EventID': 1}, 'condition': 'selection'}",critical,"['T1068', 'T1203', 'T1210', 'T1211', 'T1212', 'T1499']"
9703792d-fd9a-456d-a672-ff92efe4806a,"{'selection': {'EventID': 524, 'Provider_Name': 'Microsoft-Windows-Backup'}, 'condition': 'selection'}",medium,['T1070']
b4c8da4a-1c12-46b0-8a2b-0a8521d03442,"{'selection': {'Provider_Name': 'Microsoft-Windows-SoftwareRestrictionPolicies', 'EventID': [865, 866, 867, 868, 882]}, 'condition': 'selection'}",high,['T1072']
570ae5ec-33dc-427c-b815-db86228ad43e,"{'selection': {'Provider_Name': 'MsiInstaller', 'EventID': [1034, 11724]}, 'condition': 'selection'}",low,['T1489']
5594e67a-7f92-4a04-b65d-1a42fd824a60,"{'selection': {'Provider_Name': 'MsiInstaller', 'EventID': [1040, 1042], 'Data|contains': '://'}, 'condition': 'selection'}",medium,['T1218']
87261fb2-69d0-42fe-b9de-88c6b5f65a43,"{'selection': {'EventID': 1033, 'Provider_Name': 'MsiInstaller', 'Message|contains': 'AteraAgent'}, 'condition': 'selection'}",high,['T1219']
218d2855-2bba-4f61-9c85-81d0ea63ac71,"{'selection': {'Provider_Name|contains': 'MSSQL', 'EventID': 18456}, 'condition': 'selection'}",low,['T1110']
ebfe73c2-5bc9-4ed9-aaa8-8b54b2b4777d,"{'selection': {'Provider_Name|contains': 'MSSQL', 'EventID': 18456}, 'filter_main_local_ips': {'Data|contains': ['CLIENT: 10.', 'CLIENT: 172.16.', 'CLIENT: 172.17.', 'CLIENT: 172.18.', 'CLIENT: 172.19.', 'CLIENT: 172.20.', 'CLIENT: 172.21.', 'CLIENT: 172.22.', 'CLIENT: 172.23.', 'CLIENT: 172.24.', 'CLIENT: 172.25.', 'CLIENT: 172.26.', 'CLIENT: 172.27.', 'CLIENT: 172.28.', 'CLIENT: 172.29.', 'CLIENT: 172.30.', 'CLIENT: 172.31.', 'CLIENT: 192.168.', 'CLIENT: 127.', 'CLIENT: 169.254.']}, 'condition': 'selection and not 1 of filter_main_*'}",medium,['T1110']
78bc5783-81d9-4d73-ac97-59f6db4f72a8,"{'keywords': ['Adfind', 'ASP/BackDoor ', 'ATK/', 'Backdoor.ASP', 'Backdoor.Cobalt', 'Backdoor.JSP', 'Backdoor.PHP', 'Blackworm', 'Brutel', 'BruteR', 'Chopper', 'Cobalt', 'COBEACON', 'Cometer', 'CRYPTES', 'Cryptor', 'Destructor', 'DumpCreds', 'Exploit.Script.CVE', 'FastReverseProxy', 'Filecoder', 'GrandCrab ', 'HackTool', 'HKTL', 'HTool', 'IISExchgSpawnCMD', 'Impacket', 'JSP/BackDoor ', 'Keylogger', 'Koadic', 'Krypt', 'Lazagne', 'Metasploit', 'Meterpreter', 'MeteTool', 'mikatz', 'Mimikatz', 'Mpreter', 'MsfShell', 'Nighthawk', 'Packed.Generic.347', 'PentestPowerShell', 'Phobos', 'PHP/BackDoor ', 'Potato', 'PowerSploit', 'PowerSSH', 'PshlSpy', 'PSWTool', 'PWCrack', 'PWDump', 'Ransom', 'Rozena', 'Ryzerlo', 'Sbelt', 'Seatbelt', 'SecurityTool ', 'SharpDump', 'Shellcode', 'Sliver', 'Splinter', 'Swrort', 'Tescrypt', 'TeslaCrypt', 'TurtleLoader', 'Valyria', 'Webshell'], 'filter_optional_generic': ['anti_ransomware_service.exe', 'Crack', 'cyber-protect-service.exe', 'Keygen'], 'filter_optional_information': {'Level': 4}, 'filter_optional_restartmanager': {'Provider_Name': 'Microsoft-Windows-RestartManager'}, 'condition': 'keywords and not 1 of filter_optional_*'}",high,['T1588']
076ebe48-cc05-4d8f-9d41-89245cd93a14,"{'selection': {'Provider_Name': 'ScreenConnect', 'EventID': 200, 'Data|contains': 'Executed command of length'}, 'condition': 'selection'}",low,['T1059']
5d19eb78-5b5b-4ef2-a9f0-4bfa94d58a13,"{'selection': {'Provider_Name': 'ScreenConnect', 'EventID': 201, 'Data|contains': 'Transferred files with action'}, 'condition': 'selection'}",low,['T1059']
6c82cf5c-090d-4d57-9188-533577631108,"{'selection': {'Provider_Name': 'Windows Error Reporting', 'EventID': 1001, 'Data|contains|all': ['MsMpEng.exe', 'mpengine.dll']}, 'condition': 'selection'}",high,"['T1211', 'T1562']"
401e5d00-b944-11ea-8f9a-00163ecd60ae,"{'selection': {'EventID': [8004, 8007, 8022, 8025]}, 'condition': 'selection'}",medium,"['T1059', 'T1204']"
1ff315dc-2a3a-4b71-8dde-873818d25d39,"{'selection': {'EventID': 3, 'processPath|endswith': '\\bitsadmin.exe'}, 'condition': 'selection'}",low,['T1197']
fe3a2d49-f255-4d10-935c-bda7391108eb,"{'selection': {'EventID': 3, 'processPath|endswith': ['\\powershell.exe', '\\pwsh.exe']}, 'condition': 'selection'}",low,['T1197']
b85e5894-9b19-4d86-8c87-a2f3b81f0521,"{'selection': {'EventID': 16403, 'LocalName|endswith': ['.bat', '.dll', '.exe', '.hta', '.ps1', '.psd1', '.sh', '.vbe', '.vbs']}, 'filter_optional_generic': {'LocalName|contains': '\\AppData\\', 'RemoteName|contains': '.com'}, 'condition': 'selection and not 1 of filter_optional_*'}",medium,['T1197']
d635249d-86b5-4dad-a8c7-d7272b788586,"{'selection': {'EventID': 16403, 'RemoteName|contains': ['.githubusercontent.com', 'anonfiles.com', 'cdn.discordapp.com', 'cdn.discordapp.com/attachments/', 'ddns.net', 'dl.dropboxusercontent.com', 'ghostbin.co', 'glitch.me', 'gofile.io', 'hastebin.com', 'mediafire.com', 'mega.nz', 'onrender.com', 'paste.ee', 'pastebin.com', 'pastebin.pl', 'pastetext.net', 'privatlab.com', 'privatlab.net', 'send.exploit.in', 'sendspace.com', 'storage.googleapis.com', 'storjshare.io', 'supabase.co', 'temp.sh', 'transfer.sh', 'ufile.io']}, 'condition': 'selection'}",high,['T1197']
90f138c1-f578-4ac3-8c49-eecfd847c8b7,"{'selection': {'EventID': 16403, 'RemoteName|contains': ['http://1', 'http://2', 'http://3', 'http://4', 'http://5', 'http://6', 'http://7', 'http://8', 'http://9', 'https://1', 'https://2', 'https://3', 'https://4', 'https://5', 'https://6', 'https://7', 'https://8', 'https://9']}, 'filter_optional_local_networks': {'RemoteName|contains': ['://10.', '://192.168.', '://172.16.', '://172.17.', '://172.18.', '://172.19.', '://172.20.', '://172.21.', '://172.22.', '://172.23.', '://172.24.', '://172.25.', '://172.26.', '://172.27.', '://172.28.', '://172.29.', '://172.30.', '://172.31.', '://127.', '://169.254.']}, 'filter_optional_seven_zip': {'RemoteName|contains': ['https://7-', 'http://7-']}, 'condition': 'selection and not 1 of filter_optional_*'}",high,['T1197']
